CE;centro;32451EDCAB;centro;42531EACBD;centro;DBEAC34521;centro;ECBAD42135;centro;20000
SG;centro;42135CABED;centro;DBEAC34521;centro;43521EACBD;centro;CEBAD42135;centro;20000
CO;centro;32451EDCAB;centro;43125BACED;centro;BEACD24531;centro;DCAEB35412;centro;20000
RM;centro;43125BACED;centro;CABED42135;centro;ECBAD42135;centro;32451EDCAB;centro;20000
RMP;centro;CEABD42531;centro;DBEAC24531;centro;32451EDCAB;centro;43251EADCB;centro;20000
GG;centro;CEABD42531;centro;43125BACED;centro;CABED42135;centro;43521EACBD;centro;20000
GiGo;centro;32451EDCAB;centro;43521EACBD;centro;BDACE24513;centro;ECBAD42135;centro;10000
BF;centro;BDACE24513;centro;42351DECAB;centro;DCAEB35412;centro;34251BADCE;centro;20000
RI;centro;CABED42135;centro;DBEAC34521;centro;42531EADBC;centro;42351DECAB;centro;10000
VT;centro;43521EACBD;centro;DBEAC34521;centro;42135CABED;centro;BEACD24531;centro;20000
RF;centro;43215DECAB;centro;42531EADBC;centro;DEBAD42135;centro;ECBAD42135;centro;20000
FG;centro;DBEAC34521;centro;CABED42135;centro;43521EACBD;centro;42531EACBD;centro;20000
OM;centro;32451EDCAB;centro;43125BACED;centro;DBEAC24531;centro;ECBAD42135;centro;20000
DTR;centro;ECBAD42135;centro;43215DECAB;centro;43521EACBD;centro;DBEAC24531;centro;20000
PA;centro;43125BACED;centro;42531EADBC;centro;CEBAD42135;centro;DCAEB35412;centro;20000